Gene,sample1,sample2,sampleN
ANKRD30B,0,0,0
ANKRD30BL,0,0,0
ANKRD31,0,0,0
ANKRD33,0,0,0
ANKRD33B,0,0,0
ANKRD34A,3,0,1
ANKRD34B,0,0,0
ANKRD34C,0,0,0
ANKRD35,1,1,0
ANKRD36,0,0,0
ANKRD36B,0,0,0
ANKRD36C,26,14,18
ANKRD37,62,32,33
ANKRD39,13,60,15
ANKRD40,63,77,46
ANKRD40CL,0,0,0
ANKRD42,1,1,1
ANKRD44,0,0,0
ANKRD45,0,0,0
ANKRD46,1,2,2
ANKRD49,53,62,58
ANKRD50,3,5,2
ANKRD52,4,9,7
ANKRD53,0,0,0
ANKRD54,3,2,3
ANKRD55,0,0,0
ANKRD6,0,0,0
ANKRD60,0,0,0
ANKRD62,0,0,1
ANKRD63,0,0,0
ANKRD65,0,8,11
ANKRD66,0,0,0
ANKRD7,2,5,0
ANKRD9,13,31,11
ANKS1A,0,0,0
ANKS1B,0,0,0
ANKS3,1,0,1
ANKS4B,4,0,2
ANKS6,7,3,4
ANKUB1,0,0,0
ANKZF1,11,4,11
ANLN,0,0,0
ANO1,0,1,0
ANO10,0,0,0
ANO2,0,0,0
ANO3,0,0,0
ANO4,0,0,0
ANO5,0,0,0
ANO6,1,1,1
ANO7,0,0,0
ANO8,3,7,4
ANO9,5,3,6
ANOS1,0,1,0
ANP32A,34,35,21
ANP32B,160,200,123
ANP32D,0,9,0
ANP32E,14,8,9
ANPEP,3,7,53
ANTXR1,0,1,0
ANTXR2,2,4,0
ANTXRL,0,0,0
ANXA1,600,241,249
ANXA10,23,7,5
ANXA11,12,5,7
ANXA13,1,2,1
ANXA2,44,24,22
ANXA2R,5,0,3
ANXA3,22,13,11
ANXA4,10,7,15
ANXA5,284,166,133
ANXA6,2,9,2
ANXA7,10,9,7
ANXA8,0,0,0
ANXA8L1,0,0,0
ANXA9,0,1,2
AOAH,0,0,0
AOC1,13,7,3
AOC2,0,0,1
AOC3,5,6,2
AOX1,0,0,1
AP1AR,3,3,2
AP1B1,3,4,2
AP1G1,8,7,6
AP1G2,1,2,1
AP1M1,6,6,4
AP1M2,19,18,17
AP1S1,197,83,93
AP1S2,2,6,1
AP1S3,3,1,2
AP2A1,7,10,5
AP2A2,1,1,1
AP2B1,1,1,1
AP2M1,96,147,68
AP2S1,12,17,7
AP3B1,2,2,1
AP3B2,0,0,0
AP3D1,14,14,8
AP3M1,2,1,1
AP3M2,13,18,7
AP3S1,0,0,0
AP3S2,1,1,1
AP4B1,3,2,1
AP4E1,0,0,0
AP4M1,4,6,3
AP4S1,0,0,0
AP5B1,35,40,25
AP5M1,4,3,5
AP5S1,4,5,5
AP5Z1,9,9,4
APAF1,0,0,0
APBA1,0,0,0
APBA2,0,0,0
APBA3,5,4,4
APBB1,2,4,2
APBB1IP,1,3,0
APBB2,0,0,0
APBB3,3,1,5
APC,0,1,0
APC2,0,0,0
APCDD1,3,6,6
APCDD1L,0,0,0
APCS,83,61,250
APEH,30,23,16
APELA,0,0,0
APEX1,60,55,29
APEX2,28,18,23
APH1A,195,146,109
APH1B,1,2,1
API5,5,5,4
APIP,2,5,2
APLF,2,0,1
APLN,0,8,4
APLNR,3,5,1
APLP1,3,16,10
APLP2,7,5,3
APMAP,25,37,17
APOA1,0,0,0
APOA4,0,0,2
APOA5,0,0,0
APOB,0,0,0
APOBEC1,1,1,0
APOBEC2,0,0,3
APOBEC3A,0,40,1
APOBEC3B,0,0,0
APOBEC3C,91,116,90
APOBEC3D,0,0,0
APOBEC3F,1,0,2
APOBEC3G,9,11,11
APOBEC3H,0,0,1
APOBEC4,0,0,0
APOBR,42,71,10
APOC1,154,377,9
APOC3,0,0,0
APOD,106,556,30
APOE,492,1258,67
APOF,0,0,0
APOH,0,3,14
APOL1,59,33,46
